station,lat_mean,lon_mean,depth_m
1,25.644615,-80.12396,8.818230628967285
2,25.64176344,-80.10374839,6.33685827255249
3,25.64373485,-80.08342727,40.58563232421875
4,25.10802292,-80.37852292,4.809149742126465
5,25.09392292,-80.35542708,6.678605079650879
5.5,25.07905306,-80.33311633,5.039581298828125
6,25.06453774,-80.31464906,34.49846267700195
6.5,25.04895273,-80.28805636,73.603515625
6.75,24.99480057,-80.22969818,171.66773986816406
7,24.81708507,-80.75494627,3.477653980255127
8,24.79228197,-80.74190984,6.971033573150635
9,24.7628208,-80.7231488,31.99262809753418
9.5,24.71678636,-80.68976104,121.59965515136719
9.6,24.6634,-80.6576,195.50607299804688
9.7,24.583,-80.6103,213.55136108398438
9.8,24.4665,-80.526,379.68310546875
10,24.78678732,-80.86142254,4.801374435424805
11,24.75316271,-80.84670678,7.418280124664307
12,24.71375431,-80.83189224,31.12419319152832
13,24.70078983,-81.02963898,4.299930095672607
14,24.67535763,-81.02359322,12.633758544921875
15,24.64362951,-81.01635082,33.78617858886719
15.5,24.59253016,-80.99191905,127.48136901855469
16,24.67052299,-81.19911839,6.406619548797607
17,24.63528065,-81.19367419,11.5402193069458
18,24.59667869,-81.1830623,32.07902908325195
19,24.60831,-81.42096333,5.6396942138671875
20,24.57189333,-81.41866333,13.213257789611816
21.25,24.4753,-81.3997,147.04080200195312
21.5,24.48321714,-81.39138143,143.6746826171875
22,24.45512188,-81.82856719,32.0
22.5,24.39771356,-81.82719322,141.0
22.5A,24.33469963,-81.83129883,218.0
23,24.48659836,-81.82811967,10.0
24,24.53640769,-81.82804923,8.0
25,24.39319992,-82.76830292,53.0
25.5,24.28680038,-82.76570129,352.0
26,24.49379921,-82.77079773,23.0
27,24.58979988,-82.76930237,27.0
28,24.72820091,-82.74729919,29.0
28.5,24.90119934,-82.61650085,34.0
29,25.0632,-82.47799683,34.0
29.5,25.22750092,-82.34970093,30.0
30,25.40177059,-82.20985546,26.0
30.5,25.57168448,-82.07502931,18.0
31,25.74167257,-81.94319646,14.0
32,25.87262581,-81.83313226,10.878463745117188
33,25.91135351,-81.80025965,9.168927192687988
34,25.94938852,-81.76791639,6.1364946365356445
39,25.78040769,-81.48460962,3.1752047538757324
40,25.75885357,-81.52372143,4.349146842956543
41,25.73318267,-81.57485867,5.0
42,25.65546667,-81.71811333,9.0
44,25.58279991,-81.66470337,8.0
45,25.58330521,-81.47096667,6.667656421661377
46,25.583255,-81.408815,5.612175464630127
47,25.58320685,-81.3672589,4.772414207458496
48,25.58307458,-81.33112542,4.264869213104248
49,25.58286271,-81.29558136,3.0344462394714355
49.5,25.45330048,-81.58450317,8.0
50,25.45394655,-81.34919655,6.299086570739746
51,25.45324459,-81.30816892,5.396368503570557
52,25.45323103,-81.26125,4.226539611816406
53,25.45273091,-81.22924182,3.144651412963867
54,25.34234658,-81.15480822,2.8569324016571045
55,25.35001067,-81.19914933,2.9628496170043945
56,25.35000769,-81.22755128,3.558593273162842
57,25.35147952,-81.26496988,4.61945104598999
57.1,25.37589537,-81.35678889,6.55898904800415
57.2,25.35145691,-81.48893252,9.041810989379883
57.3,25.35138864,-81.65330682,11.0
58,25.16662039,-81.65334757,12.0
59,25.1665629,-81.48686613,8.96882152557373
60,25.16663077,-81.33611099,6.031301498413086
61,25.16664167,-81.275475,5.833253860473633
62,25.16674167,-81.24281167,4.112844467163086
63,25.16660345,-81.20077241,3.2586352825164795
64,25.16576538,-81.16013654,3.426170825958252
65,25.09761818,-81.09596364,3.477243423461914
66,25.06800714,-81.10886607,3.8412041664123535
67,25.03009825,-81.12678772,3.8764731884002686
68,24.93034262,-81.16691148,3.8449673652648926
69,24.93003043,-81.09469565,4.005978584289551
70,24.92981522,-81.03126522,3.4235422611236572
71,24.9306,-80.9696,3.4241302013397217
21LK,24.53688203,-81.41395313,37.10759735107422
AC1,28.2402,-82.8976,5.249107837677002
AC2,28.238,-82.9536,8.573246002197266
AC3,28.2387,-83.0638,13.040816307067871
AC4,28.2392,-83.231,20.419189453125
AC5,28.2437,-83.3956,24.306608200073242
AC6,28.2384,-83.5726,27.0
AMI1,27.49654643,-82.75100357,8.079093933105469
AMI2,27.4587377,-82.84470328,11.101469993591309
AMI3,27.42052258,-82.9389,16.48658561706543
AMI4,27.38195085,-83.03259322,22.6545467376709
AMI5,27.34249,-83.12745833,30.204360961914062
AMI6,27.30493,-83.22182667,34.2109489440918
AMI7,27.26555645,-83.31629677,40.13733673095703
AMI8,27.22804516,-83.4099871,45.0
AMI9,27.18911746,-83.50345714,49.0
BG1,26.71244364,-82.25936909,11.454150199890137
BG10,26.3591,-83.5071,58.0
BG11,26.3175,-83.6534,66.0
BG12,26.2722,-83.8078,95.0
BG13,26.22785385,-83.96155385,132.0
BG14,26.1826,-84.1152,156.0
BG15,26.13703846,-84.26171538,177.0
BG16,26.0932,-84.419,213.0
BG17,26.04686,-84.573,244.0
BG18,26.0126,-84.7191,740.0
BG2,26.68841343,-82.33988657,12.098373413085938
BG20,25.9327,-85.02185714,3318.0
BG3,26.66848116,-82.41697391,16.068811416625977
BG4,26.63016197,-82.55652254,21.16500473022461
BG6,26.54405161,-82.86943226,32.0
BG7,26.49448421,-83.03685,39.0
BG8,26.4498,-83.192,47.0
BG9,26.4062,-83.3453,54.0
BK1,24.7477,-81.9474,19.0
BLOOM,24.35479927,-82.2457962,176.0
CH1,26.71680069,-82.24970245,9.053182601928711
CH2,26.66150093,-82.33029938,12.23076343536377
CH3,26.55369949,-82.46669769,19.030622482299805
CH4,26.47069931,-82.61820221,25.297725677490234
CH5,26.38299942,-82.76779938,30.0
DT1,24.69169998,-82.91770172,18.0
DT10,24.54920006,-82.97270203,24.0
DT11,24.61849976,-82.91130066,7.0
DT2,24.69199944,-83.0503006,23.0
DT3,24.69099998,-83.18599701,56.0
DT4,24.69370079,-83.3144989,65.0
DT5,24.56080055,-83.30519867,65.0
DT6,24.43219948,-83.23249817,161.0
DT7,24.29800034,-83.19080353,594.0
DT8,24.3817997,-83.11370087,185.0
DT9,24.46780014,-83.04370117,51.0
CAL1,26.418148,-81.96003,5.137805461883545
CAL2,26.38330263,-82.00028289,8.047370910644531
CAL3,26.34158158,-82.0442,10.0711030960083
CAL4,26.25367662,-82.13838182,13.428430557250977
CAL5,26.18330519,-82.21632468,18.891300201416016
CAL6,25.94014412,-82.48081618,29.705217361450195
CAL7,26.1575,-82.0542,13.5953950881958
CAL8,26.0623,-82.045,14.14881706237793
CALA,26.3263,-82.4846,21.837013244628906
Caseyhole,26.4837,-82.7369,27.737293243408203
CK1,25.7393,-81.773,10.0
CK2,25.6496,-82.0151,18.0
CW1,28.01004333,-82.84979667,5.462442398071289
CW2,28.016915,-82.89157,9.117781639099121
CW3,28.0101,-82.96043111,11.132219314575195
CW4,28.01169,-83.07929,17.183231353759766
CW5,28.01174483,-83.23577586,21.438596725463867
CW6,28.01204074,-83.39604815,27.27948760986328
CW7,28.012032,-83.568804,31.0
EB1,26.9232,-82.3843,9.248333930969238
EB2,26.9238,-82.5417,16.942197799682617
EH07,27.4864,-83.4177,39.0
EH08,27.326,-83.3587,40.945762634277344
EKIN,25.33379474,-80.22306491,4.988951206207275
EKMID,25.31418983,-80.19477288,8.363251686096191
EKOFF,25.29513898,-80.16413898,16.396738052368164
Glider,27.0765,-83.30215,43.0
GP1,26.804075,-82.29815,8.269874572753906
GP1.5,26.7853,-82.3048,10.188106536865234
GP2,26.77615,-82.3531,12.350279808044434
GP3,26.741125,-82.422325,15.517965316772461
GP4,26.66745,-82.55865,21.38631248474121
GP5,26.59563571,-82.69553095,25.99473762512207
GS,25.7835,-82.7378,38.886173248291016
HB1,28.5446,-82.891,3.825485944747925
HB2,28.5815,-82.9938,8.458727836608887
HB3,28.628,-83.1546,13.0
HB4,28.6862,-83.3097,18.0
HB5,28.7352,-83.4676,20.0
HB6,28.7841,-83.6234,22.0
Junkpile,26.4894,-82.3431,14.839600563049316
KW1,24.654588,-81.90419067,10.0
KW2,24.7277411,-81.91659726,14.0
KW3,24.82219474,-81.95730263,19.0
KW4,25.01125205,-82.04361096,21.0
L1,27.30188889,-82.59437778,8.164132118225098
L3,27.2212,-82.77433889,17.317787170410156
L5,27.13536667,-82.95385556,27.0
L7,27.05596667,-83.13505556,38.0
L9,26.97085238,-83.31413333,45.0
M01,25.2288,-82.1383,24.0
M02,25.1229,-82.1,22.0
M03,25.04,-82.0652,21.0
M04,24.9394,-82.0223,18.0
M05,24.8353,-81.9789,20.0
MR,25.0062288,-80.3741392,25.649433135986328
MR1,24.14299965,-81.78399658,718.0
MR2,23.66600037,-81.77030182,1606.0
MR3,24.07320023,-82.43869781,762.0
MR4,24.61770058,-81.11000061,24.616384506225586
MR5,24.50219917,-81.0632019,196.99996948242188
MR6,24.34350014,-80.99629974,273.0619812011719
MR7,24.91150093,-80.06770325,486.1673583984375
Mudhole,26.2448,-82.0118,12.351292610168457
NaplesBlueHole,25.8428,-82.1519,20.874217987060547
PLUME,24.9381,-80.204,245.58050537109375
RedTide,25.8616,-82.09093333,18.666584014892578
ROME4,27.65006667,-82.91964,11.934895515441895
ROME5,27.65035333,-82.83844667,9.122953414916992
RP1,26.54561053,-82.21585965,6.467277526855469
RP2,26.55298421,-82.25563947,9.006725311279297
RP3,26.55118846,-82.33152821,12.792287826538086
RP4,26.57784557,-82.49810253,17.806594848632812
TB1,27.80021091,-82.88270545,6.579572677612305
TB10,27.61775806,-83.489,37.0
