"station","lat_mean","lon_mean"
"1",25.644615,-80.12396
"10",24.7867873239437,-80.8614225352113
"11",24.7531627118644,-80.846706779661
"12",24.7137543103448,-80.8318922413793
"13",24.7007898305085,-81.0296389830508
"14",24.6753576271186,-81.023593220339
"15",24.6436295081967,-81.0163508196721
"15.5",24.5925301587302,-80.991919047619
"16",24.6705229885057,-81.1991183908046
"17",24.6352806451613,-81.1936741935484
"18",24.5966786885246,-81.183062295082
"19",24.60831,-81.4209633333333
"2",25.6417634408602,-80.1037483870968
"20",24.5718933333333,-81.4186633333333
"21.25",24.4753,-81.3997
"21.5",24.4832171428571,-81.3913814285714
"21LK",24.53688203125,-81.413953125
"22",24.455121875,-81.8285671875
"22.5",24.397713559322,-81.827193220339
"23",24.4865983606557,-81.8281196721312
"24",24.5364076923077,-81.8280492307692
"3",25.6437348484848,-80.0834272727273
"30",25.4017705882353,-82.2098554621849
"30.5",25.5716844827586,-82.0750293103448
"31",25.7416725663717,-81.943196460177
"32",25.8726258064516,-81.8331322580645
"33",25.9113535087719,-81.8002596491228
"34",25.9493885245902,-81.7679163934426
"39",25.7804076923077,-81.4846096153846
"4",25.1080229166667,-80.3785229166667
"40",25.7588535714286,-81.5237214285714
"41",25.7331826666667,-81.5748586666667
"42",25.6554666666667,-81.7181133333333
"45",25.5833052083333,-81.4709666666667
"46",25.583255,-81.408815
"47",25.5832068493151,-81.3672589041096
"48",25.5830745762712,-81.3311254237288
"49",25.5828627118644,-81.2955813559322
"5",25.0939229166667,-80.3554270833333
"5.5",25.0790530612245,-80.3331163265306
"50",25.4539465517241,-81.3491965517241
"51",25.4532445945946,-81.3081689189189
"52",25.4532310344828,-81.26125
"53",25.4527309090909,-81.2292418181818
"54",25.3423465753425,-81.1548082191781
"55",25.3500106666667,-81.1991493333333
"56",25.3500076923077,-81.2275512820513
"57",25.3514795180723,-81.2649698795181
"57.1",25.3758953703704,-81.3567888888889
"57.2",25.3514569105691,-81.4889325203252
"57.3",25.3513886363636,-81.6533068181818
"58",25.1666203883495,-81.6533475728155
"59",25.1665629032258,-81.4868661290323
"6",25.0645377358491,-80.3146490566038
"6.5",25.0489527272727,-80.2880563636364
"60",25.1666307692308,-81.336110989011
