variable,station_type,month,depth_bin_low,depth_bin_high,n,median,p01,p99,mean,std,min,max
conductivity,deep_cast,1,0,10,357721,5.013763077422233,4.106302430236955,5.595128951394365,4.970099251038623,0.3563201759943215,0.5091691196343465,5.69203137544828
conductivity,deep_cast,1,10,20,270104,5.0764120201744145,4.419904203142425,5.578283773328211,5.064125452376456,0.2821653112305867,4.228761590006875,6.263210620084852
conductivity,deep_cast,1,20,30,196592,5.1737282439634935,4.725117701875353,5.588629011264594,5.172392461505094,0.21077594413531986,2.631781251407327,9.249641033867544
conductivity,deep_cast,1,30,40,107806,5.235864983209922,4.874957205362995,5.599505632317685,5.239599475455839,0.18111226344721001,4.265815604556704,6.083451721302897
conductivity,deep_cast,1,40,50,39600,5.224503025127107,4.971397290278315,5.5890158465480875,5.266991534461871,0.1603031970425147,4.62585408191681,5.595335310417085
conductivity,deep_cast,1,50,60,27984,5.211907964693478,5.035265670981299,5.552425456609702,5.2637354573569,0.11081953373955632,4.088875595784925,5.562162261823758
conductivity,deep_cast,1,60,70,22966,5.237658666470393,4.753063240810833,5.550034191921457,5.250305084999895,0.14498837987332489,4.422345023579191,5.553576825716641
conductivity,deep_cast,1,70,80,23510,5.242372867725031,4.424159181454786,5.434376678184104,5.228665534438991,0.19936373873318283,4.40218565030561,6.232110775389938
conductivity,deep_cast,1,80,90,17828,5.1883058585802,4.163999721959742,5.405466395829929,5.132900458794936,0.27113751654822643,4.109783403801201,5.616289177608369
conductivity,deep_cast,1,90,100,16984,5.112842625060247,4.051180608784734,5.3752981929406,5.026977778512131,0.3287333249148783,4.033430845364527,5.397590876937456
conductivity,deep_cast,1,100,110,17244,5.001872309537263,3.9695291503469257,5.362488089923924,4.878382462129942,0.3932760823166263,2.156120867309869,5.364434499784672
conductivity,deep_cast,1,110,120,25302,4.7885185317879975,3.871234339390801,5.34061953241042,4.71874679759948,0.42999511173127697,3.864848673235942,5.342933807949516
conductivity,deep_cast,1,120,130,25968,4.501375405688228,3.8555676001807226,5.064981839610496,4.467491953037213,0.36565332246368154,3.3392073586810604,5.083316481930536
conductivity,deep_cast,1,130,140,16318,4.222671623902514,3.8502486510499496,4.962379658452943,4.299322967719421,0.29990712853172186,3.8495622789392527,4.989641979663983
conductivity,deep_cast,1,140,150,10818,4.1449957926103345,4.116921021541321,4.888082404990917,4.364244342855676,0.28719038930969704,4.110413251884449,5.584074879933251
conductivity,deep_cast,1,150,160,2194,4.605525677975014,4.294359935047701,4.823372322886815,4.5963090862981115,0.20131151412714945,4.287939554198226,9.984947046176536
conductivity,deep_cast,1,160,170,2266,4.542343541633853,4.227948340607531,4.721043437051497,4.505453272836015,0.15730377085531894,4.222851605241425,4.729112835525459
conductivity,deep_cast,1,170,180,3022,4.4334481631136455,4.154507616887732,4.656576778607767,4.422690512357393,0.14042990829873456,4.147469921740694,4.6627412712134415
conductivity,deep_cast,1,180,190,4298,4.3219257608081225,4.074670998604304,4.597486277770948,4.328543004443966,0.12012995902810572,4.070393668407848,4.602424262739982
conductivity,deep_cast,1,190,200,1714,4.257507277218077,4.00677486177206,4.521112856245749,4.274882618130855,0.22272660259916036,4.00403579577704,7.756990494752086
conductivity,deep_cast,1,200,210,1744,4.161027233531732,3.9500331071269805,4.4541303613748084,4.191796198468409,0.17672829937168924,3.9494436238161357,4.460322997532588
conductivity,deep_cast,1,210,220,1724,4.135726552982384,3.896282032245259,4.3765795458037156,4.1356094047139855,0.1815676711006555,3.894748446729462,4.381393231375441
conductivity,deep_cast,1,220,230,1886,4.0905153440547135,3.85852345331083,4.326080529585458,4.073665513377455,0.17650660844262914,3.8582477017061434,4.327934862588197
conductivity,deep_cast,1,230,240,2322,3.856475149097143,3.825380399929771,4.266520769275441,3.984995743119554,0.16733847159125972,3.8249398406234265,4.277693988962806
conductivity,deep_cast,1,240,250,2239,4.03933326315355,3.8002112478690027,4.246868981966691,3.990151910303129,0.19314002506508984,1.0042984717118224,4.248879345582553
conductivity,deep_cast,1,250,260,2264,4.013686174649515,3.7814615078449987,4.210159739694754,3.9580307235677177,0.1690954799341028,3.7812880075378703,4.214317467967906
conductivity,deep_cast,1,260,270,2274,3.9976120903651626,3.7763959059379424,4.196217875050429,3.953966558824064,0.16229445103222978,3.776223937119142,4.197402712859054
